step,timestamp_offset_s,step_title,motor_temp_c,vibration_rms,motor_current_a,belt_speed_mps,worker_distance_m,estop_tripped,trust_temp,trust_vib,trust_prox,risk_score,risk_state,active_comm_channel,comm_state,store_forward_pending,beacon_color,siren_db,description
1,0,System Normal Baseline,68.5,2.4,48.2,2.2,4.5,0,98.0,96.0,97.0,12.0,NORMAL,INTERNET_WAN,NORMAL,0,GREEN,0,Conveyor operating nominal. RPi 5 edge brain active.
2,5,ESP32-S3 Live Sensor Telemetry,69.1,2.5,48.8,2.2,4.2,0,98.0,96.0,97.0,14.0,NORMAL,INTERNET_WAN,NORMAL,0,GREEN,0,Distributed FreeRTOS sensing nodes publishing verified telemetry.
3,10,Conveyor Digital Twin Binding,70.0,2.6,49.0,2.2,4.0,0,98.0,96.0,97.0,15.0,NORMAL,INTERNET_WAN,NORMAL,0,GREEN,0,3D scene objects bound to live ESP32 sensor streams.
4,15,Motor Temperature Rise Detected,79.5,3.1,54.2,2.2,3.8,0,97.0,96.0,97.0,38.0,WATCH,INTERNET_WAN,NORMAL,0,YELLOW,0,Drive motor winding temperature trending upward to 79.5C.
5,20,Bearing Vibration Surge,82.0,5.8,58.0,2.2,3.5,0,96.0,95.0,97.0,62.0,WARNING,INTERNET_WAN,NORMAL,0,YELLOW,0,ADXL345 detects bearing vibration spike to 5.8 mm/s RMS.
6,25,Risk Engine Elevates to WARNING,84.5,6.2,52.0,1.1,3.4,0,95.0,95.0,97.0,68.0,WARNING,INTERNET_WAN,NORMAL,0,YELLOW,0,Generic risk engine computes aggregate mechanical risk of 68.0.
7,30,False Sensor Attack Injected,84.5,6.2,52.0,1.1,3.4,0,48.0,95.0,97.0,68.0,WARNING,INTERNET_WAN,NORMAL,0,YELLOW,0,Fault injection: SENSOR_TEMP_AUX_B suddenly reports 140C in 0.1s.
8,35,Trust Engine Detects Anomaly,84.5,6.2,52.0,1.1,3.4,0,18.0,95.0,97.0,68.0,WARNING,INTERNET_WAN,NORMAL,0,YELLOW,0,Rate-of-change physics jump check detects outlier.
9,40,Sensor Quarantined,84.5,6.2,52.0,1.1,3.4,0,0.0,95.0,97.0,68.0,WARNING,INTERNET_WAN,NORMAL,0,YELLOW,0,Byzantine quarantine isolates spoofed sensor with weight=0.0.
10,45,Worker Enters Danger Zone,84.5,6.2,52.0,1.1,0.65,0,95.0,95.0,98.0,96.0,CRITICAL,INTERNET_WAN,NORMAL,1,RED,95,ToF LiDAR detects worker breach into restricted conveyor zone.
11,50,Autonomous Hardware Trip,84.0,0.2,0.0,0.0,0.65,1,95.0,95.0,98.0,98.0,CRITICAL,INTERNET_WAN,NORMAL,2,RED,95,RPi 5 cuts motor power relay locally in <8.4ms.
12,55,Internet WAN Severed,82.0,0.1,0.0,0.0,1.2,1,95.0,95.0,98.0,85.0,CRITICAL,LOCAL_MQTT,DEGRADED,4,RED,95,Fiber cut simulated. WAN connection lost. Local autonomy continues.
13,60,Failover to HF Radio Simulation,80.0,0.1,0.0,0.0,1.8,1,95.0,95.0,98.0,78.0,CRITICAL,HF_PACKET_RADIO,EMERGENCY,5,RED,0,7.105 MHz AX.25 packet radio emergency channel active.
14,65,Total Electromagnetic Blackout,76.0,0.0,0.0,0.0,3.0,1,95.0,95.0,98.0,60.0,WARNING,OFFLINE_PENDRIVE,ISOLATED,8,YELLOW,0,All RF, cellular, and internet channels severed.
15,70,Local Safety Continues Unabated,72.0,0.0,0.0,0.0,3.8,0,96.0,96.0,98.0,35.0,WATCH,OFFLINE_PENDRIVE,ISOLATED,12,YELLOW,0,RPi 5 maintains full sensor loops and local safety.
16,75,Events Stored on USB Pendrive,70.0,0.0,0.0,0.0,4.0,0,97.0,96.0,98.0,25.0,WATCH,OFFLINE_PENDRIVE,ISOLATED,18,YELLOW,0,Events saved with sequence numbers in /sentinel-data/ SQLite WAL.
17,80,Communication Restored,69.0,0.0,0.0,0.0,4.5,0,98.0,96.0,98.0,18.0,NORMAL,INTERNET_WAN,RECOVERY,18,GREEN,0,WAN and optical links re-established.
18,85,Store-and-Forward Sync,68.8,0.0,0.0,0.0,4.5,0,98.0,96.0,98.0,15.0,NORMAL,INTERNET_WAN,NORMAL,0,GREEN,0,18 queued events flushed from USB pendrive to command center.
19,90,Open Instant Digital Twin Builder,68.5,2.4,48.0,2.2,4.5,0,98.0,96.0,98.0,12.0,NORMAL,INTERNET_WAN,NORMAL,0,GREEN,0,Accessing photo-assisted facility digital twin builder interface.
20,95,Import Industrial Photographs,68.5,2.4,48.0,2.2,4.5,0,98.0,96.0,98.0,12.0,NORMAL,INTERNET_WAN,NORMAL,0,GREEN,0,Loading 5 multi-view photos of Bokaro sinter conveyor drive unit.
21,100,Generate Photo-Assisted 3D Twin,68.5,2.4,48.0,2.2,4.5,0,98.0,96.0,98.0,12.0,NORMAL,INTERNET_WAN,NORMAL,0,GREEN,0,Extracting spatial keypoints and semantic object bounding boxes.
22,105,Anchor Sensor Data to Twin,68.5,2.4,48.0,2.2,4.5,0,98.0,96.0,98.0,12.0,NORMAL,INTERNET_WAN,NORMAL,0,GREEN,0,Binding ESP32 PT100 to Motor M007 and ADXL345 to Bearing B-101.
23,110,Complete Operational Demonstration,68.5,2.4,48.0,2.2,4.5,0,98.0,96.0,98.0,10.0,NORMAL,INTERNET_WAN,NORMAL,0,GREEN,0,Fully operational Sentinel-X platform demonstrated successfully.
